1.31.0-wmf.1	399
1.31.0-wmf.2	172
1.31.0-wmf.3	351
1.31.0-wmf.4	264
1.31.0-wmf.11	335
1.31.0-wmf.12	374
1.31.0-wmf.15	756
1.31.0-wmf.16	288
1.31.0-wmf.20	822
1.31.0-wmf.21	354
1.31.0-wmf.22	628
1.31.0-wmf.23	499
1.31.0-wmf.24	278
1.31.0-wmf.25	398
1.31.0-wmf.26	288
1.31.0-wmf.27	319
1.31.0-wmf.28	358
1.31.0-wmf.29	362
1.31.0-wmf.30	504
1.32.0-wmf.1	247
1.32.0-wmf.2	257
1.32.0-wmf.3	281
1.32.0-wmf.4	197
1.32.0-wmf.5	236
1.32.0-wmf.6	410
1.32.0-wmf.7	242
1.32.0-wmf.8	317
1.32.0-wmf.10	444
1.32.0-wmf.12	373
1.32.0-wmf.13	228
1.32.0-wmf.14	215
1.32.0-wmf.15	424
1.32.0-wmf.16	372
1.32.0-wmf.18	755
1.32.0-wmf.19	331
1.32.0-wmf.20	617
1.32.0-wmf.22	824
1.32.0-wmf.23	272
1.32.0-wmf.24	280
1.32.0-wmf.26	673
1.33.0-wmf.1	237
1.33.0-wmf.2	309
1.33.0-wmf.3	341
1.33.0-wmf.6	654
1.33.0-wmf.8	559
1.33.0-wmf.9	326
1.33.0-wmf.12	452
1.33.0-wmf.13	275
1.33.0-wmf.14	263
1.33.0-wmf.16	507
1.33.0-wmf.17	525
1.33.0-wmf.18	208
1.33.0-wmf.19	296
1.33.0-wmf.20	362
1.33.0-wmf.21	343
1.33.0-wmf.22	391
1.33.0-wmf.23	337
1.33.0-wmf.24	314
1.33.0-wmf.25	396
1.34.0-wmf.1	372
1.34.0-wmf.3	519
1.34.0-wmf.4	290
1.34.0-wmf.5	322
1.34.0-wmf.6	385
1.34.0-wmf.7	246
1.34.0-wmf.8	315
1.34.0-wmf.10	781
1.34.0-wmf.11	251
1.34.0-wmf.13	471
1.34.0-wmf.14	646
1.34.0-wmf.15	270
1.34.0-wmf.16	259
1.34.0-wmf.17	359
1.34.0-wmf.19	422
1.34.0-wmf.20	413
1.34.0-wmf.21	363
1.34.0-wmf.22	288
1.34.0-wmf.23	365
1.34.0-wmf.24	226
1.34.0-wmf.25	247
1.35.0-wmf.1	373
1.35.0-wmf.2	457
1.35.0-wmf.3	379
1.35.0-wmf.4	360
1.35.0-wmf.5	471
1.35.0-wmf.8	715
1.35.0-wmf.10	452
1.35.0-wmf.11	455
1.35.0-wmf.14	690
1.35.0-wmf.15	531
1.35.0-wmf.16	407
1.35.0-wmf.18	727
1.35.0-wmf.19	348
1.35.0-wmf.20	313
1.35.0-wmf.21	558
1.35.0-wmf.22	308
1.35.0-wmf.23	469
1.35.0-wmf.24	518
1.35.0-wmf.25	662
1.35.0-wmf.26	463
