1.36.0-wmf.36	3
1.36.0-wmf.35	3
1.36.0-wmf.34	1
1.36.0-wmf.33	1
1.36.0-wmf.30	1
1.36.0-wmf.27	7
1.36.0-wmf.26	2
1.36.0-wmf.22	2
1.36.0-wmf.18	1
1.36.0-wmf.16	1
1.36.0-wmf.14	2
1.36.0-wmf.11	1
1.36.0-wmf.10	3
1.36.0-wmf.9	1
1.36.0-wmf.8	1
1.36.0-wmf.3	1
1.36.0-wmf.2	1
1.36.0-wmf.1	4
1.35.0-wmf.38	1
1.35.0-wmf.37	1
1.35.0-wmf.36	1
1.35.0-wmf.35	1
1.35.0-wmf.32	2
1.35.0-wmf.30	3
1.35.0-wmf.28	1
1.35.0-wmf.25	1
1.35.0-wmf.23	1
1.35.0-wmf.22	1
1.35.0-wmf.21	1
1.35.0-wmf.18	1
1.35.0-wmf.16	2
1.35.0-wmf.15	2
1.35.0-wmf.11	1
1.35.0-wmf.10	2
1.35.0-wmf.8	1
1.35.0-wmf.5	3
1.34.0-wmf.25	1
1.34.0-wmf.21	1
1.34.0-wmf.20	3
1.34.0-wmf.19	1
1.34.0-wmf.15	3
1.34.0-wmf.13	2
1.34.0-wmf.11	2
1.34.0-wmf.8	2
1.34.0-wmf.5	2
1.34.0-wmf.4	1
1.33.0-wmf.25	1
1.33.0-wmf.23	4
1.33.0-wmf.18	1
1.33.0-wmf.14	1
1.33.0-wmf.13	2
1.33.0-wmf.6	1
1.33.0-wmf.4	2
1.33.0-wmf.2	1
1.33.0-wmf.1	2
1.32.0-wmf.26	3
1.32.0-wmf.24	3
1.32.0-wmf.23	1
1.32.0-wmf.16	2
1.32.0-wmf.13	4
1.32.0-wmf.12	2
1.32.0-wmf.8	2
1.32.0-wmf.10	1
1.32.0-wmf.3	2
1.32.0-wmf.1	1
1.31.0-wmf.29	2
1.31.0-wmf.28	1
1.31.0-wmf.26	3
1.31.0-wmf.22	2
1.31.0-wmf.21	2
1.31.0-wmf.17	2
1.31.0-wmf.15	1
1.31.0-wmf.10	1
1.31.0-wmf.8	1
1.31.0-wmf.7	2
1.31.0-wmf.5	1
1.31.0-wmf.4	1
1.31.0-wmf.1	1
